Machine,IP,OS,Reg_Date,Vendor,Model,Serial,Tag,Warranty_Expiration,Warranty_Extension,Ship_Date,CPU,Disk,RAM,NIC,UUID,Building,Room,Rack,Size,Function,Level,Priority,Service,Department,Contact,Authorized_Requesters,Solutionary,Backup,Chef_Org,Hosting_Type
ahc-sccl.oit.umn.edu,128.101.120.66,rhel-x86_64-server-6,2011-09-20,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 02 bf d0 fd 31 34 1c-2b 3d 07 91 d7 b9 28 6d,VM,VM,NA,VM,Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz,VM,3833,eth0-00:50:56:82:00:17-128.101.120.66,4202bfd0fd31341c2b3d0791d7b9286d,WBOB,VM,VM,VM,HIPAA web application,Production,1,Hosting,AHC Information Systems,ahc-alrt@lists.ahc.umn.edu,tokac006  tsmiley@umn.edu,No,NA,NA,NA
ale01.oit.umn.edu,160.94.239.77,rhel-x86_64-server-6,2012-01-09,Dell Inc.,PowerEdge R610 Not Specified,3VGHML1,201002412,4/16/2013,NA,4/16/2010,Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,2x73G 2x300G,7854,eth1-00:21:9b:9a:57:d1-NA eth2-00:21:9b:9a:57:d3-NA eth0-00:21:9b:9a:57:cf-160.94.239.77 eth3-00:21:9b:9a:57:d5-NA,NA,TelecomB,01-161-0B-00025,25007,1U,2factor gateway OIT staff,Production,2,Hosting,OIA,oialinux@umn.edu,ander662 brown345 tkunz aspinall schnide bogg0010,No,NA,NA,NA
ale02.oit.umn.edu,160.94.45.184,rhel-x86_64-server-6,2012-01-09,Dell Inc.,PowerEdge R610 Not Specified,CTDQQL1,201002412,4/16/2013,NA,4/16/2010,Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,2x73G 2x300G,7854,eth0-00:21:9b:9e:56:f7-160.94.45.184 eth2-00:21:9b:9e:56:fb-NA eth1-00:21:9b:9e:56:f9-NA eth3-00:21:9b:9e:56:fd-NA,NA,WBOB,01-218-LL-0020A,AI18,1U,2factor gateway OIT staff,Production,2,Hosting,OIA,oialinux@umn.edu,ander662 brown345 tkunz aspinall schnide bogg0010,No,NA,NA,NA
ale03.oit.umn.edu,134.84.231.4,rhel-x86_64-server-6,2013-03-04,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 78 4d 6f 22 e4 ae-8d dc 61 e4 a8 a6 20 ec,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,25G,1873,eth0-00:50:56:a3:6a:aa-134.84.231.4,4223784d6f22e4ae8ddc61e4a8a620ec,WBOB,VM,VM,VM,Non-OIT ssh gateway for Hosting Service,Production,1,Hosting,OIT-OIA,oialinux@umn.edu,ander662 brown345 tkunz fastx001 aspinall schnide bogg0010 lixxx211 amun0155,Yes,Yes,NA,NA
ansible-workshop.oit.umn.edu,10.32.110.250,rhel-x86_64-server-7,2017-05-09,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 53 2b 74 65 0f 22-df 45 e1 27 63 eb 11 4f,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1831,NA,4223532b74650f22df45e12763eb114f,WBOB,VM,VM,VM,Ansible workshop jump box,Test,3,Hosting,OIT,mjincor@umn.edu,mjincor,No,No,oit-hosting,Fully Managed
archive.hrl-ochls.oit.umn.edu,134.84.192.117,rhel-x86_64-server-6,2013-11-26,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 b5 1d f2 63 9f 03-ef b3 a0 01 13 44 6f 9c,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,80G,1869,eth0-00:50:56:a3:4b:ee-134.84.192.117,4223b51df2639f03efb3a00113446f9c,WBOB,VM,VM,VM,server for Off Campus Housing Listing Service web application,Production,NA,Hosting,Housing & Residential Life,hfscs@umn.edu,phamx039@umn.edu patt0244@umn.edu white087@umn.edu cease003@umn.edu cdmeyere@umn.edu,Yes,Yes,NA,NA
asr-apps-prd-web-02.oit.umn.edu,128.101.122.24,rhel-x86_64-server-7,2016-11-02,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 fb 7c 6a 95 8e 64-8b 4f 29 4d 03 67 69 ac,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,3783,NA,4223fb7c6a958e648b4f294d036769ac,WBOB,VM,VM,VM,Web Server,Production,1,Hosting,ASR,debbieg@umn.edu,debbieg whit0694 dlagerro@umn.edu,No,Yes,NA,NA
asr-apps-qat-web-02.oit.umn.edu,128.101.122.23,rhel-x86_64-server-7,2016-11-02,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 c6 88 6c 75 49 af-1e bd be 34 ed b8 c6 e4,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,3783,NA,4223c6886c7549af1ebdbe34edb8c6e4,WBOB,VM,VM,VM,Web Server,Production,1,Hosting,ASR,debbieg@umn.edu,debbieg whit0694 dlagerro@umn.edu,No,Yes,NA,NA
asr-archive-prd-01.oit.umn.edu,10.32.110.233,rhel-x86_64-server-7,2017-02-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 f8 b1 e9 6d 06 ad-b7 2b a8 16 bc 4a b1 55,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,4223f8b1e96d06adb72ba816bc4ab155,WBOB,VM,VM,VM,An archive server to host items that need backup,Production,3,Hosting,ASR,debbieg@umn.edu,debbieg whit0694 dlagerro,No,Yes,oit-hosting,Fully Managed
asr-classroom-prod1.oit.umn.edu,128.101.2.131,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 bb 13 33 3c 32 78-71 16 a6 43 b2 85 9d 34,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:2e:ea-128.101.2.131,4223bb13333c32787116a643b2859d34,WBOB,VM,VM,VM,public web server for ASR site,Production,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-classroom-stage1.oit.umn.edu,128.101.2.132,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 1a de b4 0a 9e f2-1c b8 34 4f e2 c2 ef 0a,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:6b:88-128.101.2.132,42231adeb40a9ef21cb8344fe2c2ef0a,WBOB,VM,VM,VM,public web server for ASR site,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-coa-prd-01.oit.umn.edu,128.101.122.43,rhel-x86_64-server-7,2016-12-29,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 e1 8e 1b 97 bc ba-4d 12 3b 34 c1 c7 0f 5e,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,4223e18e1b97bcba4d123b34c1c70f5e,WBOB,VM,VM,VM,production,Production,3,Hosting,ASR,isen0011@umn.edu,debbieg whit0694 eeklund isen0011 dlagerro jennz,No,Yes,oit-hosting,Fully Managed
asr-coa-qat-01.oit.umn.edu,128.101.122.42,rhel-x86_64-server-7,2016-12-29,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 75 c8 fb 0a fc b1-59 76 bf b6 51 cd 7b c0,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,422375c8fb0afcb15976bfb651cd7bc0,WBOB,VM,VM,VM,development,Development,3,Hosting,ASR,isen0011@umn.edu,debbieg whit0694 eeklund isen0011 dlagerro jennz,No,Yes,oit-hosting,Fully Managed
asr-coursefees-prd-03.oit.umn.edu,128.101.122.80,rhel-x86_64-server-7,2017-02-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ef 20 fe 9a 15 91-10 eb 4b cc b4 b0 4a dd,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,4223ef20fe9a159110eb4bccb4b04add,WBOB,VM,VM,VM,Web server for course fees site,Production,3,Hosting,ASR,debbieg@umn.edu,debbieg whit0694 dlagerro,No,No,oit-hosting,Jointly Managed
asr-coursefees-prd-web-02.oit.umn.edu,128.101.2.171,rhel-x86_64-server-6,2016-09-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 13 e1 e4 9a f5 62-3d 38 5a 67 da fc 75 d1,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,150G,7986,eth0-00:50:56:a3:06:ed-128.101.2.171,422313e1e49af5623d385a67dafc75d1,WBOB,VM,VM,VM,API endpoint for serving Course Fee data,Production,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 dlagerro,Yes,Yes,NA,NA
asr-coursefees-qat-03.oit.umn.edu,128.101.122.54,rhel-x86_64-server-7,2017-02-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ee 6d 4b a6 de c7-04 7f a1 5c 5e b6 36 73,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,3783,NA,4223ee6d4ba6dec7047fa15c5eb63673,WBOB,VM,VM,VM,Web server for course fees site,Test,3,Hosting,ASR,debbieg@umn.edu,debbieg whit0694 dlagerro,No,No,oit-hosting,Jointly Managed
asr-coursefees-qat-web-02.oit.umn.edu,128.101.2.170,rhel-x86_64-server-6,2016-09-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 a3 c3 83 a1 85 87-a6 3c 60 9f 36 c0 04 c3,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,150G,7986,eth0-00:50:56:a3:38:d4-128.101.2.170,4223a3c383a18587a63c609f36c004c3,WBOB,VM,VM,VM,API endpoint for serving Course Fee data,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 dlagerro,Yes,Yes,NA,NA
asr-courses-prd-web-02.oit.umn.edu,128.101.122.36,rhel-x86_64-server-7,2016-12-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 2a 04 3f 1a 62 79-d0 f8 4b 5c 8a dc 4e 41,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,42232a043f1a6279d0f84b5c8adc4e41,WBOB,VM,VM,VM,Courses web service,Production,3,Hosting,ASR,whit0694@umn.edu,dlagerro debbieg jennz eeklund isen0011,No,No,oit-hosting,Jointly Managed
asr-courses-qat-web-02.oit.umn.edu,128.101.122.37,rhel-x86_64-server-7,2016-12-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 a4 a6 f5 ea a5 46-1f 10 c4 a4 d7 c8 42 ac,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,4223a4a6f5eaa5461f10c4a4d7c842ac,WBOB,VM,VM,VM,courses web service,Test,3,Hosting,ASR,whit0694@umn.edu,dlagerro debbieg jennz eeklund isen0011,No,No,oit-hosting,Jointly Managed
asr-csds-prod1.oit.umn.edu,128.101.2.133,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 7f a4 c6 84 ca f0-c8 38 e5 83 5a a7 3a 52,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:3c:9d-128.101.2.133,42237fa4c684caf0c838e5835aa73a52,WBOB,VM,VM,VM,public web server for ASR site,Production,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-csds-stage1.oit.umn.edu,128.101.2.134,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 48 f9 dd c7 cd a3-1a 05 5f 65 89 44 c0 62,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:14:1a-128.101.2.134,422348f9ddc7cda31a055f658944c062,WBOB,VM,VM,VM,public web server for ASR site,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-directory-prod1.oit.umn.edu,128.101.2.135,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 22 b7 66 50 c4 50-ca 5b 9f 67 26 b7 7e 5f,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:3a:3e-128.101.2.135,422322b76650c450ca5b9f6726b77e5f,WBOB,VM,VM,VM,public web server for ASR site,Production,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-directory-stage1.oit.umn.edu,128.101.2.136,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 86 78 ae c9 45 6a-f6 b4 81 0f 20 a9 cb e3,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:0c:20-128.101.2.136,42238678aec9456af6b4810f20a9cbe3,WBOB,VM,VM,VM,public web server for ASR site,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-facroles-prd-02.oit.umn.edu,128.101.122.82,rhel-x86_64-server-7,2017-02-15,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 2e eb 29 42 10 d0-56 23 7a 48 50 2b db f7,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,3783,NA,42232eeb294210d056237a48502bdbf7,WBOB,VM,VM,VM,Web Server for faculty roles site,Production,3,Hosting,ASR,debbieg@umn.edu,debbieg whit0694 dlagerro,No,No,oit-hosting,Jointly Managed
asr-facroles-qat-02.oit.umn.edu,128.101.122.81,rhel-x86_64-server-7,2017-02-15,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 d2 19 96 7e f6 68-64 93 cb 42 fb 05 3c 64,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,4223d219967ef6686493cb42fb053c64,WBOB,VM,VM,VM,Web Server for faculty roles site,Test,3,Hosting,ASR,debbieg@umn.edu,debbieg whit0694 dlagerro,No,No,oit-hosting,Jointly Managed
asr-faculty-roles-prod1.oit.umn.edu,128.101.2.137,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 7b ce f8 c8 ee 7b-76 bb 4e 98 11 a5 fe 4c,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:24:81-128.101.2.137,42237bcef8c8ee7b76bb4e9811a5fe4c,WBOB,VM,VM,VM,public web server for ASR site,Production,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-faculty-roles-stage1.oit.umn.edu,128.101.2.138,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 88 02 ba e3 d4 e3-95 c9 4f df fb 1e 4e e4,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:6a:03-128.101.2.138,42238802bae3d4e395c94fdffb1e4ee4,WBOB,VM,VM,VM,public web server for ASR site,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-forseti-prd-web-02.oit.umn.edu,128.101.122.39,rhel-x86_64-server-7,2016-12-20,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 3c c4 c1 ff 28 1b-c7 9f 78 dc 04 ce 5c 3c,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,42233cc4c1ff281bc79f78dc04ce5c3c,WBOB,VM,VM,VM,Rails web server,Production,3,Hosting,ASR,whit0694@umn.edu,debbieg dlagerro jennz isen0011 eeklund whit0694,No,Yes,oit-hosting,Fully Managed
asr-forseti-qat-web-02.oit.umn.edu,128.101.122.38,rhel-x86_64-server-7,2016-12-20,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 7c 58 36 67 9d 24-23 4c f6 39 c7 7d a5 74,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,42237c5836679d24234cf639c77da574,WBOB,VM,VM,VM,Rails web server,Test,3,Hosting,ASR,whit0694@umn.edu,debbieg dlagerro jennz isen0011 eeklund whit0694,No,Yes,oit-hosting,Fully Managed
asr-intranet-prod1.oit.umn.edu,128.101.2.139,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 15 63 4c c8 f4 71-c2 ad 59 57 e4 b4 b3 b2,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:53:92-128.101.2.139,422315634cc8f471c2ad5957e4b4b3b2,WBOB,VM,VM,VM,public web server for ASR site,Production,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-intranet-stage1.oit.umn.edu,128.101.2.140,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 cc e5 f8 46 2b 3b-bb a1 90 a5 55 d4 c9 2d,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:74:2b-128.101.2.140,4223cce5f8462b3bbba190a555d4c92d,WBOB,VM,VM,VM,public web server for ASR site,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-jruby-stage1.oit.umn.edu,128.101.2.191,rhel-x86_64-server-6,2015-10-13,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ca 03 a1 d9 10 1e-41 d6 a5 15 40 ff 14 67,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,7993,eth0-00:50:56:a3:10:6d-128.101.2.191,4223ca03a1d9101e41d6a51540ff1467,WBOB,VM,VM,VM,jruby apps deployment,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-le-distribution-prod1.oit.umn.edu,128.101.2.141,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 dc 3a d2 18 39 97-60 01 f4 96 ec f0 70 89,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:3e:16-128.101.2.141,4223dc3ad21839976001f496ecf07089,WBOB,VM,VM,VM,public web server for ASR site,Production,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-le-distribution-stage1.oit.umn.edu,128.101.2.142,rhel-x86_64-server-6,2015-03-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 38 0f b4 51 65 1b-e3 83 85 12 85 92 78 71,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,1998,eth0-00:50:56:a3:6c:63-128.101.2.142,4223380fb451651be383851285927871,WBOB,VM,VM,VM,public web server for ASR site,Test,NA,Hosting,ASR,asrweb@umn.edu,debbieg whit0694 poul0035 dlagerro,Yes,Yes,NA,NA
asr-libed-prd-web-03.oit.umn.edu,128.101.122.51,rhel-x86_64-server-7,2017-01-10,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 1b 7c 80 06 50 b3-64 a8 b6 0c dd f7 c7 6b,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,5799,NA,42231b7c800650b364a8b60cddf7c76b,WBOB,VM,VM,VM,Course Fee web service,Production,3,Hosting,ASR,whit0694@umn.edu,dlagerro debbieg jennz whit0694 isen0011 eeklund,No,No,oit-hosting,Jointly Managed
asr-libed-qat-web-03.oit.umn.edu,128.101.122.50,rhel-x86_64-server-7,2017-01-10,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 a9 5f 20 a7 7e 30-0a a9 53 79 8d 1f 4d 18,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,5799,NA,4223a95f20a77e300aa953798d1f4d18,WBOB,VM,VM,VM,Course Fee Web Service,Test,3,Hosting,ASR,whit0694@umn.edu,dlagerro debbieg jennz whit0694 isen0011 eeklund,No,No,oit-hosting,Jointly Managed
